#
#  Times of cadences affected by momentum dumps
#  Created Tue May 30 14:17:38 EDT 2023 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2018-09-07 02:11:40.978336 UTC, 1368.59224723, 1220321520.0, 101619, 6774
2018-09-07 02:13:40.978289 UTC, 1368.59363612, 1220321640.0, 101620, 6774
2018-09-07 02:15:40.978241 UTC, 1368.59502501, 1220321760.0, 101621, 6774
2018-09-07 02:17:40.978194 UTC, 1368.59641390, 1220321880.0, 101622, 6774
2018-09-07 02:19:40.978146 UTC, 1368.59780279, 1220322000.0, 101623, 6774
2018-09-07 02:21:40.978099 UTC, 1368.59919167, 1220322120.0, 101624, 6774
2018-09-07 02:23:40.978051 UTC, 1368.60058056, 1220322240.0, 101625, 6774
2018-09-09 14:53:40.891801 UTC, 1371.12141290, 1220540040.0, 103440, 6895
2018-09-09 14:55:40.891754 UTC, 1371.12280179, 1220540160.0, 103441, 6895
2018-09-09 14:57:40.891706 UTC, 1371.12419067, 1220540280.0, 103442, 6895
2018-09-09 14:59:40.891659 UTC, 1371.12557956, 1220540400.0, 103443, 6896
2018-09-09 15:01:40.891611 UTC, 1371.12696845, 1220540520.0, 103444, 6896
2018-09-09 15:03:40.891564 UTC, 1371.12835734, 1220540640.0, 103445, 6896
2018-09-09 15:05:40.891516 UTC, 1371.12974623, 1220540760.0, 103446, 6896
2018-09-09 15:07:40.891469 UTC, 1371.13113512, 1220540880.0, 103447, 6896
2018-09-12 02:53:40.806264 UTC, 1373.62141191, 1220756040.0, 105240, 7015
2018-09-12 02:55:40.806216 UTC, 1373.62280080, 1220756160.0, 105241, 7015
2018-09-12 02:57:40.806169 UTC, 1373.62418968, 1220756280.0, 105242, 7015
2018-09-12 02:59:40.806121 UTC, 1373.62557857, 1220756400.0, 105243, 7016
2018-09-12 03:01:40.806074 UTC, 1373.62696746, 1220756520.0, 105244, 7016
2018-09-12 03:03:40.806026 UTC, 1373.62835635, 1220756640.0, 105245, 7016
2018-09-12 03:05:40.805979 UTC, 1373.62974524, 1220756760.0, 105246, 7016
2018-09-12 03:07:40.805931 UTC, 1373.63113413, 1220756880.0, 105247, 7016
2018-09-14 14:53:40.720727 UTC, 1376.12141092, 1220972040.0, 107040, 7135
2018-09-14 14:55:40.720679 UTC, 1376.12279980, 1220972160.0, 107041, 7135
2018-09-14 14:57:40.720632 UTC, 1376.12418869, 1220972280.0, 107042, 7135
2018-09-14 14:59:40.720584 UTC, 1376.12557758, 1220972400.0, 107043, 7136
2018-09-14 15:01:40.720537 UTC, 1376.12696647, 1220972520.0, 107044, 7136
2018-09-14 15:03:40.720489 UTC, 1376.12835536, 1220972640.0, 107045, 7136
2018-09-14 15:05:40.720442 UTC, 1376.12974425, 1220972760.0, 107046, 7136
2018-09-14 15:07:40.720394 UTC, 1376.13113313, 1220972880.0, 107047, 7136
2018-09-17 02:53:40.635190 UTC, 1378.62140993, 1221188040.0, 108840, 7255
2018-09-17 02:55:40.635142 UTC, 1378.62279881, 1221188160.0, 108841, 7255
2018-09-17 02:57:40.635095 UTC, 1378.62418770, 1221188280.0, 108842, 7255
2018-09-17 02:59:40.635047 UTC, 1378.62557659, 1221188400.0, 108843, 7256
2018-09-17 03:01:40.634999 UTC, 1378.62696548, 1221188520.0, 108844, 7256
2018-09-17 03:03:40.634952 UTC, 1378.62835437, 1221188640.0, 108845, 7256
2018-09-17 03:05:40.634904 UTC, 1378.62974326, 1221188760.0, 108846, 7256
2018-09-17 03:07:40.634857 UTC, 1378.63113214, 1221188880.0, 108847, 7256
2018-09-19 14:53:40.549652 UTC, 1381.12140894, 1221404040.0, 110640, 7375
2018-09-19 14:55:40.549605 UTC, 1381.12279782, 1221404160.0, 110641, 7375
2018-09-19 14:57:40.549557 UTC, 1381.12418671, 1221404280.0, 110642, 7375
2018-09-19 14:59:40.549510 UTC, 1381.12557560, 1221404400.0, 110643, 7376
2018-09-19 15:01:40.549462 UTC, 1381.12696449, 1221404520.0, 110644, 7376
2018-09-19 15:03:40.549415 UTC, 1381.12835338, 1221404640.0, 110645, 7376
2018-09-19 15:05:40.549367 UTC, 1381.12974227, 1221404760.0, 110646, 7376
2018-09-19 15:07:40.549320 UTC, 1381.13113115, 1221404880.0, 110647, 7376
2018-09-21 04:59:40.494616 UTC, 1382.70890830, 1221541200.0, 111783, 7452
2018-09-21 05:01:40.494568 UTC, 1382.71029719, 1221541320.0, 111784, 7452
2018-09-21 05:03:40.494520 UTC, 1382.71168608, 1221541440.0, 111785, 7452
2018-09-21 05:05:40.494471 UTC, 1382.71307496, 1221541560.0, 111786, 7452
2018-09-21 05:07:40.494423 UTC, 1382.71446385, 1221541680.0, 111787, 7452
2018-09-21 05:09:40.494374 UTC, 1382.71585274, 1221541800.0, 111788, 7452
2018-09-21 05:11:40.494326 UTC, 1382.71724163, 1221541920.0, 111789, 7452
2018-09-21 05:13:40.494277 UTC, 1382.71863052, 1221542040.0, 111790, 7452
2018-09-21 05:15:40.494229 UTC, 1382.72001941, 1221542160.0, 111791, 7452
2018-09-21 05:17:40.494180 UTC, 1382.72140829, 1221542280.0, 111792, 7452
2018-09-21 05:19:40.494132 UTC, 1382.72279718, 1221542400.0, 111793, 7452
2018-09-21 05:21:40.494083 UTC, 1382.72418607, 1221542520.0, 111794, 7452
2018-09-21 05:23:40.494035 UTC, 1382.72557496, 1221542640.0, 111795, 7452
2018-09-23 17:53:40.406042 UTC, 1385.24640727, 1221760440.0, 113610, 7573
2018-09-23 17:55:40.405994 UTC, 1385.24779616, 1221760560.0, 113611, 7573
