#
#  Times of cadences affected by momentum dumps
#  Created Thu Dec 28 00:03:26 EST 2023 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2021-05-12 18:49:04.462088 UTC, 2347.28488018, 1304880600.0, 806278, 161255
2021-05-12 18:51:04.462034 UTC, 2347.28626907, 1304880720.0, 806279, 161255
2021-05-12 18:53:04.461980 UTC, 2347.28765795, 1304880840.0, 806280, 161255
2021-05-12 18:55:04.461926 UTC, 2347.28904684, 1304880960.0, 806281, 161255
2021-05-12 18:57:04.461872 UTC, 2347.29043573, 1304881080.0, 806282, 161255
2021-05-12 18:59:04.461818 UTC, 2347.29182462, 1304881200.0, 806283, 161256
2021-05-12 19:01:04.461764 UTC, 2347.29321351, 1304881320.0, 806284, 161256
2021-05-12 19:03:04.461710 UTC, 2347.29460240, 1304881440.0, 806285, 161256
2021-05-12 19:05:04.461656 UTC, 2347.29599128, 1304881560.0, 806286, 161256
2021-05-12 19:07:04.461602 UTC, 2347.29738017, 1304881680.0, 806287, 161256
2021-05-19 08:01:04.207058 UTC, 2353.83487722, 1305446520.0, 810994, 162198
2021-05-19 08:03:04.207004 UTC, 2353.83626611, 1305446640.0, 810995, 162198
2021-05-19 08:05:04.206950 UTC, 2353.83765500, 1305446760.0, 810996, 162198
2021-05-19 08:07:04.206896 UTC, 2353.83904389, 1305446880.0, 810997, 162198
2021-05-19 08:09:04.206842 UTC, 2353.84043278, 1305447000.0, 810998, 162199
2021-05-19 08:11:04.206788 UTC, 2353.84182167, 1305447120.0, 810999, 162199
2021-05-19 08:13:04.206734 UTC, 2353.84321055, 1305447240.0, 811000, 162199
2021-05-26 06:15:03.937318 UTC, 2360.76126299, 1306044960.0, 815981, 163195
2021-05-26 06:17:03.937263 UTC, 2360.76265188, 1306045080.0, 815982, 163195
2021-05-26 06:19:03.937209 UTC, 2360.76404077, 1306045200.0, 815983, 163196
2021-05-26 06:21:03.937154 UTC, 2360.76542965, 1306045320.0, 815984, 163196
2021-05-26 06:23:03.937099 UTC, 2360.76681854, 1306045440.0, 815985, 163196
2021-05-26 06:25:03.937045 UTC, 2360.76820743, 1306045560.0, 815986, 163196
2021-05-26 06:27:03.936990 UTC, 2360.76959632, 1306045680.0, 815987, 163196
2021-05-26 06:29:03.936936 UTC, 2360.77098521, 1306045800.0, 815988, 163197
2021-05-26 06:31:03.936881 UTC, 2360.77237410, 1306045920.0, 815989, 163197
2021-05-26 06:33:03.936826 UTC, 2360.77376298, 1306046040.0, 815990, 163197
2021-05-26 06:35:03.936772 UTC, 2360.77515187, 1306046160.0, 815991, 163197
2021-05-26 06:37:03.936717 UTC, 2360.77654076, 1306046280.0, 815992, 163197
2021-05-27 06:03:03.898333 UTC, 2361.75292921, 1306130640.0, 816695, 163338
2021-05-27 06:05:03.898278 UTC, 2361.75431809, 1306130760.0, 816696, 163338
2021-05-27 06:07:03.898224 UTC, 2361.75570698, 1306130880.0, 816697, 163338
2021-05-27 06:09:03.898169 UTC, 2361.75709587, 1306131000.0, 816698, 163339
